user_id,sex,number_dependents_median,total_loan,more_90_days_overdue,number_times_delayed_payment_loan_30_59_days,number_times_delayed_payment_loan_60_89_days,using_lines_not_secured_personal_assets,debt_ratio,default_flag,clean_loan_type_Other,clean_loan_type_Real Estate,clean_loan_type_null,age_21-41 anos,age_41-52 anos,age_52-63 anos,age_63-109 anos,salary_0-3900,salary_3900-5400,salary_5400-7416,salary_7416-1560100,sex_F,sex_M,age_quartile,salary_quartile,pontuacao,score
24483,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
14999,F,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,5,0
18876,F,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,21-41 anos,3900-5400,6,0
28122,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
865,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,21-41 anos,0-3900,8,0
9884,F,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,6,0
3108,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
31904,F,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,8,0
12771,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
26354,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
14767,M,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,5,0
3683,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
17431,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
35568,M,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,21-41 anos,0-3900,5,0
7457,M,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,21-41 anos,0-3900,5,0
20824,F,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,21-41 anos,3900-5400,8,0
30541,F,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,5,0
12647,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
12798,F,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,6,0
32473,F,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,5,0
23057,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
18765,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
15497,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
252,M,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,21-41 anos,0-3900,5,0
19010,F,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,21-41 anos,3900-5400,5,0
20887,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
10498,F,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,6,0
7328,M,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,5,0
31655,M,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,8,0
5558,F,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,5,0
20605,M,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21-41 anos,3900-5400,6,0
26777,M,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,21-41 anos,0-3900,9,1
28253,F,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,5,0
29590,F,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,21-41 anos,0-3900,8,0
29247,M,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,21-41 anos,0-3900,7,0
